URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://fhir.health.gov.il/cs/patient-admit-source-moh,0.13.2,draft,,PatientAdmitSourceMoH,Patient Admit Source MoH,"Moh Codes for Patient Admit Source",
http://fhir.health.gov.il/cs/patient-release-type-moh,0.13.2,draft,,PatientRealeaseTypeMoH,Patient Realease Type MoH,"Moh Codes for Patient Realease Type",
http://fhir.health.gov.il/cs/patient-visit-reason-moh,0.13.2,draft,,PatientVisitReasonMoH,Patient Visit Reason MoH,"Moh Codes for Patient Visit Reason",
http://fhir.health.gov.il/cs/paying-entity-moh,0.13.2,draft,,PayingEntityMoH,Payer (Paying Entity / גורם משלם),"Codes for different paying entities in Israel; including HMOs, IDF, MoD, PLA, Prison system",
http://fhir.health.gov.il/cs/practitioner-advanced-course-moh,0.13.2,draft,,PractitionerAdvancedCourseMoH,Ministry of Health practitioner advanced courses codes,"Codes for practitioner advanced courses according to Israeli MoH",
http://fhir.health.gov.il/cs/practitioner-certificate-type-moh,0.13.2,draft,,PractitionerCertificateTypeMoH,MoH Certificate Types,"A list of codes for certificate types according to Israeli MoH",
http://fhir.health.gov.il/cs/practitioner-certificate-type-molsa,0.13.2,draft,,PractitionerCertificateTypeMoLSA,MoLSA Certificate Types,"A list of codes for certificate types according to Israeli MoLSA",
http://fhir.health.gov.il/cs/practitioner-education-type-moh,0.13.2,draft,,PractitionerEducationTypeMoH,Ministry of Health practitioner-education-type codes,"Codes for practitioner-education-types according to Israeli MoH",
http://fhir.health.gov.il/cs/practitioner-expertise-moh,0.13.2,draft,,PractitionerExpertiseMoH,קוד מומחיות לעוסק בבריאות,"קוד מומחיות לעוסק בבריאות לפי רישוי משרד הבריאות",
http://fhir.health.gov.il/cs/practitioner-profession-moh,0.13.2,draft,,PractitionerProfessionMoH,קוד מקצוע לעוסק בבריאות,"קוד מקצוע לעוסק בבריאות לפי רישוי משרד הבריאות",
http://israeldrugs.health.gov.il,0.13.2,draft,,MoHMedicationCode,MoH Medication Codes,"Codes for medications according to MoH catalogue",
http://yarpa.co.il/catalog,0.13.2,draft,,YarpaMedicationCode,Yarpa Medication Codes,"Codes for medications according to 'Yarpa' catalogue",
urn:ietf:rfc:3986,0.13.2,draft,,ILCoreURN,CodeSyestem for URNs,"Codes for for URNs of different kinds, instead of using urn:ietf:rfc:3986 and urn:iso:std:iso:3166 as CodeSystem identifiers",
